lat,long,color
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.56438,87.282995,3
23.5643816667,87.2829883333,3
23.5643816667,87.2829883333,3
23.564385,87.28298,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
23.564385,87.2829766667,3
