latitude,longitude,timestamp,altitude
23.5644166667,87.2830533333,06:22:00,89.7
23.5644233333,87.283045,06:22:01,91.7
23.5644116667,87.2830483333,06:22:02,90.2
23.5644283333,87.2830116667,06:22:03,92.7
23.56444,87.2830066667,06:22:05,96.0
23.56444,87.283005,06:22:06,96.8
23.564435,87.2830016667,06:22:07,96.1
23.56443,87.2829983333,06:22:08,95.4
23.5644283333,87.2829983333,06:22:09,94.7
23.564425,87.2829966667,06:22:10,94.0
23.5644216667,87.2829933333,06:22:11,93.4
23.56442,87.2829916667,06:22:12,92.9
23.5644216667,87.2829833333,06:22:13,93.8
23.5644316667,87.2829783333,06:22:14,95.3
23.5644366667,87.2829783333,06:22:15,95.1
23.5644383333,87.28298,06:22:16,94.9
23.5644416667,87.2829816667,06:22:17,94.6
23.5644466667,87.282985,06:22:18,94.8
23.5644516667,87.2829866667,06:22:19,95.8
23.564455,87.2829866667,06:22:20,96.5
23.5644566667,87.2829866667,06:22:21,97.2
23.56446,87.2829883333,06:22:22,97.8
23.5644633333,87.282995,06:22:23,98.0
23.564465,87.2830033333,06:22:24,98.0
23.5644683333,87.2830066667,06:22:25,98.4
23.5644716667,87.2830116667,06:22:26,98.3
23.5644033333,87.2831066667,06:22:27,97.1
23.5644016667,87.2830966667,06:22:28,98.0
23.5644016667,87.28309,06:22:29,99.0
23.5644016667,87.28308,06:22:30,99.9
23.5643983333,87.28308,06:22:31,99.1
23.5643966667,87.2830783333,06:22:32,98.8
23.5643983333,87.2830733333,06:22:33,99.2
23.5643983333,87.283065,06:22:34,99.5
23.5643983333,87.2830566667,06:22:35,99.6
23.5643966667,87.283055,06:22:36,99.6
23.564395,87.2830566667,06:22:37,98.9
23.564395,87.2830566667,06:22:38,98.7
23.5643966667,87.283055,06:22:39,98.4
23.5643966667,87.283055,06:22:40,98.4
23.5643966667,87.283055,06:22:41,98.4
23.5643966667,87.283055,06:22:42,98.4
23.5643966667,87.283055,06:22:43,98.4
23.5643966667,87.283055,06:22:44,98.4
23.5643966667,87.283055,06:22:45,98.4
23.5643966667,87.283055,06:22:46,98.4
23.5643966667,87.283055,06:22:47,98.4
23.5643966667,87.283055,06:22:48,98.4
23.5643966667,87.283055,06:22:49,98.4
23.5643966667,87.283055,06:22:50,98.4
23.5643966667,87.283055,06:22:51,98.4
23.5643966667,87.2830533333,06:22:52,98.4
23.5643966667,87.2830533333,06:22:53,98.4
23.5643966667,87.2830533333,06:22:54,98.4
23.5643966667,87.2830516667,06:22:55,98.4
23.564395,87.2830433333,06:22:56,98.3
23.5643916667,87.2830316667,06:22:57,98.0
23.5643883333,87.2830183333,06:22:58,97.5
23.564385,87.2830033333,06:22:59,97.3
23.5643783333,87.282985,06:23:00,96.6
23.5643683333,87.28296,06:23:01,96.2
23.5643566667,87.2829416667,06:23:02,95.9
23.564345,87.282925,06:23:03,95.8
23.5643383333,87.2829116667,06:23:04,95.6
23.56433,87.2828966667,06:23:05,95.3
23.564325,87.2828833333,06:23:06,95.1
23.5643216667,87.2828683333,06:23:07,95.1
23.5643183333,87.2828533333,06:23:08,95.1
23.564315,87.282835,06:23:09,95.0
23.5643183333,87.2828133333,06:23:10,95.3
23.5643233333,87.2827916667,06:23:11,95.2
23.5643283333,87.2827683333,06:23:12,95.3
