latitude,longitude,timestamp,altitude
23.5643233333,87.2830633333,13:39:21,91.1
23.564325,87.2830633333,13:39:22,91.1
23.5643266667,87.2830633333,13:39:23,91.1
23.5643266667,87.283065,13:39:24,91.1
23.5643266667,87.283065,13:39:25,91.0
23.5643283333,87.283065,13:39:26,91.0
23.5643283333,87.283065,13:39:27,90.9
23.5643283333,87.283065,13:39:28,90.9
23.5643266667,87.283065,13:39:29,90.9
23.5643266667,87.283065,13:39:30,90.9
23.564325,87.283065,13:39:31,90.9
23.564325,87.2830633333,13:39:32,90.8
23.5643266667,87.283055,13:39:33,90.7
23.56433,87.2830466667,13:39:34,90.5
23.5643333333,87.2830383333,13:39:35,90.5
23.564335,87.2830316667,13:39:36,90.5
23.5643383333,87.283025,13:39:37,90.4
23.5643416667,87.2830233333,13:39:38,90.5
23.5643466667,87.28302,13:39:39,90.8
23.5643516667,87.28302,13:39:40,91.0
23.5643533333,87.2830183333,13:39:41,91.1
23.5643533333,87.2830183333,13:39:42,91.1
23.5643533333,87.2830183333,13:39:43,91.1
23.5643533333,87.2830183333,13:39:44,91.1
23.5643533333,87.2830183333,13:39:45,91.1
23.5643533333,87.2830183333,13:39:46,91.1
23.5643533333,87.2830183333,13:39:47,91.0
23.5643533333,87.2830183333,13:39:48,91.0
23.5643533333,87.2830183333,13:39:49,91.0
23.5643533333,87.2830183333,13:39:50,91.0
23.5643533333,87.2830183333,13:39:51,91.0
23.5643533333,87.2830183333,13:39:52,91.0
23.5643533333,87.2830183333,13:39:53,91.0
23.5643533333,87.2830183333,13:39:54,91.0
23.5643533333,87.2830183333,13:39:55,91.0
23.5643533333,87.2830183333,13:39:56,91.0
23.5643533333,87.2830183333,13:39:57,91.0
23.5643533333,87.2830183333,13:39:58,91.0
23.5643533333,87.2830183333,13:39:59,91.0
23.5643533333,87.2830183333,13:40:00,91.0
23.5643533333,87.2830183333,13:40:01,91.0
23.5643533333,87.2830183333,13:40:02,91.0
23.5643533333,87.2830183333,13:40:03,91.0
23.5643533333,87.2830183333,13:40:04,91.0
23.5643533333,87.2830183333,13:40:05,91.0
23.5643533333,87.2830183333,13:40:06,91.0
23.5643533333,87.2830183333,13:40:07,91.0
23.5643533333,87.2830183333,13:40:08,91.0
23.5643533333,87.2830183333,13:40:09,91.0
23.5643533333,87.2830183333,13:40:10,91.0
23.5643533333,87.2830183333,13:40:11,91.0
23.5643533333,87.2830183333,13:40:12,91.0
23.5643533333,87.2830183333,13:40:13,91.0
23.5643533333,87.2830183333,13:40:14,91.0
